iter	RMSE
0	482.6538233
1	472.7378756
2	463.7225547
3	454.4578852
4	444.0527454
5	433.9311935
6	424.307197
7	415.7654364
8	407.1667562
9	399.3734396
10	392.1134476
11	385.2617198
12	378.9466458
13	372.6727862
14	367.0395716
15	362.0371867
16	356.9429201
17	352.2521391
18	348.0080722
19	343.9321705
20	339.9136112
21	336.5581372
22	333.2561051
23	330.0566953
24	326.7103127
25	324.1682461
26	321.6687584
27	318.8243587
28	316.4950012
29	314.2971086
30	311.9410256
31	309.7004595
32	307.7868169
33	306.1734361
34	304.4832892
35	302.7774766
36	301.3802861
37	300.0329427
38	298.816082
39	297.6282659
40	296.4294541
41	295.0678224
42	293.8403174
43	292.2281681
44	291.0362736
45	289.9010017
46	288.8925418
47	287.6410437
48	286.5104152
49	285.5596355
50	284.4686759
51	283.4535582
52	282.3239637
53	281.3616231
54	280.7256954
55	279.961738
56	279.0370985
57	278.418332
58	277.6817968
59	277.1369062
60	276.3667144
61	275.836104
62	275.0487319
63	273.9780364
64	272.9578761
65	272.3637133
66	271.5189556
67	270.6213461
68	269.9703219
69	269.1594801
70	268.6577117
71	267.8250771
72	267.3668138
73	266.7008603
74	266.0049073
75	265.2616028
76	264.5353775
77	264.0148842
78	263.6242208
79	263.3276705
80	262.7857073
81	262.3732437
82	261.5034894
83	261.1086895
84	260.6568747
85	260.2051238
86	259.8462968
87	259.4845359
88	258.928163
89	258.4729142
90	258.090943
91	257.8049509
92	257.4731604
93	257.1242713
94	256.713349
95	256.5037633
96	256.1440837
97	255.7570667
98	255.4522128
99	254.9681518
100	254.5364093
101	254.270988
102	253.8544761
103	253.2884545
104	252.7756361
105	252.6053561
106	252.1917432
107	251.9358207
108	251.6828816
109	251.2467561
110	251.0721311
111	250.9322307
112	250.6798328
113	250.3560614
114	250.0652108
115	249.7902902
116	249.5830207
117	249.243606
118	248.6484187
119	248.4492476
120	248.0536127
121	247.6251521
122	247.4729755
123	247.276312
124	246.4419413
125	246.1381603
126	245.8770897
127	245.7649621
128	245.205374
129	244.9535909
130	244.6973772
131	244.4701811
132	244.1098482
133	244.0930381
134	243.9245101
135	243.6316739
136	243.197801
137	242.9820546
138	242.6786638
139	242.6037621
140	242.298341
141	241.9587106
142	241.6585164
143	241.2406551
144	240.9457331
145	240.7029829
146	240.2911605
147	240.0281331
148	239.6513116
149	239.3232648
150	239.1522242
151	238.9333852
152	238.7083585
153	237.9756888
154	237.8017797
155	237.4373359
156	236.8982435
157	236.6910565
158	236.4500243
159	236.1646896
160	236.0071968
161	235.6189336
162	235.0937972
163	234.7672726
164	234.4460755
165	234.2867567
166	233.9112914
167	233.7421977
168	233.2048997
169	232.8998712
170	232.6223057
171	232.3648119
172	231.9715869
173	231.6869655
174	231.4995726
175	231.3235033
176	231.1487007
177	230.7502958
178	230.4219528
179	230.111639
180	229.9441696
181	229.6880827
182	229.2973734
183	229.1329743
184	229.0916019
185	228.7793873
186	228.5528112
187	228.3761711
188	228.1386181
189	228.0207024
