iter	Passed	Remaining
0	49	123614
1	93	116352
2	141	117691
3	187	117170
4	235	117540
5	284	118287
6	333	118842
7	384	119775
8	435	120476
9	483	120489
10	533	120763
11	581	120612
12	628	120316
13	678	120513
14	725	120233
15	772	119985
16	819	119742
17	867	119570
18	914	119369
19	962	119375
20	1011	119398
21	1063	119743
22	1111	119657
23	1158	119475
24	1205	119393
25	1252	119174
26	1298	118961
27	1351	119328
28	1402	119463
29	1448	119272
30	1496	119177
31	1541	118907
32	1588	118787
33	1635	118629
34	1682	118490
35	1732	118575
36	1780	118531
37	1828	118448
38	1876	118401
39	1925	118430
40	1974	118429
41	2022	118387
42	2070	118302
43	2118	118268
44	2164	118102
45	2214	118144
46	2262	118085
47	2311	118086
48	2364	118274
49	2415	118345
50	2463	118304
51	2512	118297
52	2562	118287
53	2610	118240
54	2658	118198
55	2706	118139
56	2757	118195
57	2805	118111
58	2852	118025
59	2899	117905
60	2947	117862
61	2995	117781
62	3043	117733
63	3090	117645
64	3138	117576
65	3186	117518
66	3235	117507
67	3285	117500
68	3336	117547
69	3385	117528
70	3447	117959
71	3495	117870
72	3543	117805
73	3589	117688
74	3636	117590
75	3683	117480
76	3731	117412
77	3779	117352
78	3827	117309
79	3874	117204
80	3924	117206
81	3970	117087
82	4019	117055
83	4067	116993
84	4115	116930
85	4163	116881
86	4211	116819
87	4262	116821
88	4309	116755
89	4365	116902
90	4411	116772
91	4465	116873
92	4512	116799
93	4560	116726
94	4606	116611
95	4655	116578
96	4720	116937
97	4768	116881
98	4818	116866
99	4866	116800
100	4914	116737
101	4964	116708
102	5011	116616
103	5059	116561
104	5106	116471
105	5154	116419
106	5201	116323
107	5249	116263
108	5300	116264
109	5351	116271
110	5400	116235
111	5446	116129
112	5493	116037
113	5543	116016
114	5590	115942
115	5640	115914
116	5688	115868
117	5753	116133
118	5801	116068
119	5848	116004
120	5898	115980
121	5946	115905
122	5994	115849
123	6042	115778
124	6090	115717
125	6138	115652
126	6186	115601
127	6232	115493
128	6280	115440
129	6333	115467
130	6381	115411
131	6430	115362
132	6478	115303
133	6496	114701
134	6542	114617
135	6590	114560
136	6640	114541
137	6689	114503
138	6737	114441
139	6783	114350
140	6830	114275
141	6875	114172
142	6924	114136
143	6969	114033
144	7018	113984
145	7065	113912
146	7114	113879
147	7160	113787
148	7207	113727
149	7259	113730
150	7312	113753
151	7365	113776
152	7415	113749
153	7463	113693
154	7511	113637
155	7560	113598
156	7606	113516
157	7653	113453
158	7701	113387
159	7750	113355
160	7801	113340
161	7849	113286
162	7897	113233
163	7946	113195
164	7994	113128
165	8044	113109
166	8093	113072
167	8142	113028
168	8189	112950
169	8237	112895
170	8288	112887
171	8341	112894
172	8390	112860
173	8438	112803
174	8485	112742
175	8531	112660
176	8579	112604
177	8626	112533
178	8675	112490
179	8721	112412
180	8773	112404
181	8822	112363
182	8870	112316
183	8918	112260
184	8934	111801
185	8983	111756
186	9030	111696
187	9078	111649
188	9124	111570
189	9172	111521
190	9220	111462
191	9267	111405
192	9319	111395
193	9366	111340
194	9415	111300
195	9465	111265
196	9509	111175
197	9559	111136
198	9604	111056
199	9652	111008
200	9702	110975
201	9750	110919
202	9799	110880
203	9848	110841
204	9896	110794
205	9943	110734
206	9991	110683
207	10041	110645
208	10089	110596
209	10138	110552
210	10186	110511
211	10236	110481
212	10287	110461
213	10348	110541
214	10394	110473
215	10444	110439
216	10489	110361
217	10539	110329
218	10584	110247
219	10631	110184
220	10682	110157
221	10730	110110
222	10777	110046
223	10825	109997
224	10874	109950
225	10923	109914
226	10972	109866
227	11018	109797
228	11067	109752
229	11113	109689
230	11161	109629
231	11212	109613
232	11262	109583
233	11314	109563
234	11363	109523
235	11412	109484
236	11463	109462
237	11513	109423
238	11560	109368
239	11610	109332
240	11658	109278
241	11706	109225
242	11754	109176
243	11803	109129
244	11849	109060
245	11897	109014
246	11945	108960
247	11997	108942
248	12051	108943
249	12100	108905
250	12148	108853
251	12196	108799
252	12242	108734
253	12293	108705
254	12343	108673
255	12392	108630
256	12445	108616
257	12491	108551
258	12541	108517
259	12588	108456
260	12636	108399
